#Kbase_ID	Type	Strand	Start	End	Function
	source	plus	1	4007882	
Bacterial_genome_Nanuq_01May2018.repeat.1	repeat	plus	9	1914	repeat region
Bacterial_genome_Nanuq_01May2018.repeat.2	repeat	plus	1963	20914	repeat region
Bacterial_genome_Nanuq_01May2018.CDS.15	gene	plus	5472	5609	
Bacterial_genome_Nanuq_01May2018.CDS.24	gene	plus	10563	11186	FIG01227611: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.25	gene	plus	11531	11737	Predicted transcriptional regulator
Bacterial_genome_Nanuq_01May2018.CDS.26	gene	plus	11734	12123	unknown
Bacterial_genome_Nanuq_01May2018.CDS.32	gene	plus	16491	16607	
Bacterial_genome_Nanuq_01May2018.CDS.34	gene	plus	17846	19291	Catalase (EC 1.11.1.6)
Bacterial_genome_Nanuq_01May2018.CDS.41	gene	plus	25386	26759	FAD-linked oxidoreductase family
Bacterial_genome_Nanuq_01May2018.repeat.3	repeat	plus	31370	31627	repeat region
Bacterial_genome_Nanuq_01May2018.repeat.4	repeat	plus	32182	35229	repeat region
Bacterial_genome_Nanuq_01May2018.repeat.5	repeat	plus	35301	37024	repeat region
Bacterial_genome_Nanuq_01May2018.CDS.47	gene	plus	38246	38599	FIG01236629: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.50	gene	plus	39827	41116	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)
Bacterial_genome_Nanuq_01May2018.CDS.51	gene	plus	41326	42390	Putative lipoprotein SAV1865
Bacterial_genome_Nanuq_01May2018.CDS.59	gene	plus	46455	46679	YfhS protein
Bacterial_genome_Nanuq_01May2018.CDS.61	gene	plus	48006	48989	Hypothetical protein SAV1869
Bacterial_genome_Nanuq_01May2018.CDS.69	gene	plus	55123	55275	FIG01227190: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.70	gene	plus	55420	56331	Glutamyl endopeptidase precursor (EC 3.4.21.19), blaSE
Bacterial_genome_Nanuq_01May2018.CDS.76	gene	plus	59262	60161	Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains
Bacterial_genome_Nanuq_01May2018.CDS.77	gene	plus	60219	60329	unknown
Bacterial_genome_Nanuq_01May2018.CDS.78	gene	plus	60400	60591	unknown
Bacterial_genome_Nanuq_01May2018.CDS.84	gene	plus	65006	65488	Transcriptional regulator, MarR family
Bacterial_genome_Nanuq_01May2018.CDS.85	gene	plus	65597	67189	drug resistance transporter, EmrB/QacA family
Bacterial_genome_Nanuq_01May2018.CDS.94	gene	plus	72593	73222	Negative regulator of phenolic acid metabolism PadR
Bacterial_genome_Nanuq_01May2018.CDS.116	gene	plus	96611	97570	Magnesium and cobalt transport protein CorA
Bacterial_genome_Nanuq_01May2018.CDS.117	gene	plus	97634	98281	Permease of the drug/metabolite transporter (DMT) superfamily
Bacterial_genome_Nanuq_01May2018.CDS.118	gene	plus	98332	99192	3-hydroxyisobutyrate dehydrogenase
Bacterial_genome_Nanuq_01May2018.CDS.121	gene	plus	100450	101571	Thioredoxin-like oxidoreductases
Bacterial_genome_Nanuq_01May2018.CDS.122	gene	plus	101578	102411	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel
Bacterial_genome_Nanuq_01May2018.CDS.125	gene	plus	104519	105169	major facilitator family transporter
Bacterial_genome_Nanuq_01May2018.CDS.126	gene	plus	105196	105696	major facilitator family transporter
